news_article_id,ticker_id,ticker,name,title,news_article_url,markdown_url,reporting_company
1,1,EDUC,"EduCare Corp.","EduCare AI Disruption",data/news_articles/EDUC/AI_driven_disruption_sends_EduCare_shares_plunging_amid_uncertain_future.pdf,data/news_articles/EDUC/AI_driven_disruption_sends_EduCare_shares_plunging_amid_uncertain_future.md,GWN
2,1,EDUC,"EduCare Corp.","StudyBot Revenue Warning",data/news_articles/EDUC/EduCare_tumbles_as_StudyBot_AI_threat_prompts_revenue_warning.pdf,data/news_articles/EDUC/EduCare_tumbles_as_StudyBot_AI_threat_prompts_revenue_warning.md,FTI
3,1,EDUC,"EduCare Corp.","AI Threat Assessed",data/news_articles/EDUC/The_AI_Threat_to_EduCare_May_Be_Overblown_but_the_Company_Faces_Real_Challenges.pdf,data/news_articles/EDUC/The_AI_Threat_to_EduCare_May_Be_Overblown_but_the_Company_Faces_Real_Challenges.md,FBA
4,1,EDUC,"EduCare Corp.","Billion Dollar Plunge",data/news_articles/EDUC/EduCare_1_Billion_Market_Value_Plunge_Highlights_AIs_Growing_Threat_to_EdTech.pdf,data/news_articles/EDUC/EduCare_1_Billion_Market_Value_Plunge_Highlights_AIs_Growing_Threat_to_EdTech.md,CDG
5,1,EDUC,"EduCare Corp.","EduCare AI Decline",data/news_articles/EDUC/EduCare_Battles_AI_Fuelled_Decline.pdf,data/news_articles/EDUC/EduCare_Battles_AI_Fuelled_Decline.md,ITD
6,1,EDUC,"EduCare Corp.","StudyBot Student Surge",data/news_articles/EDUC/EduCare_crashes_after_the_rise_of_StudyBot_AI_among_students.pdf,data/news_articles/EDUC/EduCare_crashes_after_the_rise_of_StudyBot_AI_among_students.md,GWN
7,1,EDUC,"EduCare Corp.","Existential AI Crisis",data/news_articles/EDUC/EduCare_Faces_an_Existential_Crisis_as_StudyBot_AI_Disrupts_Its_Core_Business.pdf,data/news_articles/EDUC/EduCare_Faces_an_Existential_Crisis_as_StudyBot_AI_Disrupts_Its_Core_Business.md,FTI
8,1,EDUC,"EduCare Corp.","Core Business Roiled",data/news_articles/EDUC/EduCare_Shares_Crater_as_StudyBot_AI_Roils_Its_Core_Business.pdf,data/news_articles/EDUC/EduCare_Shares_Crater_as_StudyBot_AI_Roils_Its_Core_Business.md,FBA
9,1,EDUC,"EduCare Corp.","CEO Growth Warning",data/news_articles/EDUC/EduCare_stock_sinks_after_CEO_says_StudyBot_AI_hurt_growth.pdf,data/news_articles/EDUC/EduCare_stock_sinks_after_CEO_says_StudyBot_AI_hurt_growth.md,CDG
10,1,EDUC,"EduCare Corp.","StudyBot Future Outlook",data/news_articles/EDUC/What_StudyBot_AI_Means_for_EduCare_A_Crisis_an_Opportunity_and_an_Uncertain_Future.pdf,data/news_articles/EDUC/What_StudyBot_AI_Means_for_EduCare_A_Crisis_an_Opportunity_and_an_Uncertain_Future.md,ITD
11,2,AWKS,"Adventure Works Analytics Holdings","AI Profitability Path",data/news_articles/AWKS/Can_an_AI_Bet_Secure_Adventure_Works_Path_to_Reliable_Profitability.pdf,data/news_articles/AWKS/Can_an_AI_Bet_Secure_Adventure_Works_Path_to_Reliable_Profitability.md,GWN
12,2,AWKS,"Adventure Works Analytics Holdings","New AI Platform",data/news_articles/AWKS/Our_New_Platform.pdf,data/news_articles/AWKS/Our_New_Platform.md,FTI
13,2,AWKS,"Adventure Works Analytics Holdings","Profit Forecast Expansion",data/news_articles/AWKS/Profit_Forecasts_Expanding_Use_Cases_and_a_Tech_Pivot_in_Action.pdf,data/news_articles/AWKS/Profit_Forecasts_Expanding_Use_Cases_and_a_Tech_Pivot_in_Action.md,FBA
14,2,AWKS,"Adventure Works Analytics Holdings","AI Platform Surge",data/news_articles/AWKS/Shares_Surge_as_New_AI_Platform_Fuels_Adventure_Works_Profit_Pledge.pdf,data/news_articles/AWKS/Shares_Surge_as_New_AI_Platform_Fuels_Adventure_Works_Profit_Pledge.md,CDG
15,2,AWKS,"Adventure Works Analytics Holdings","AI Transformation Bet",data/news_articles/AWKS/Adventure_Works_Bets_Big_on_AI-Led_Transformation.pdf,data/news_articles/AWKS/Adventure_Works_Bets_Big_on_AI-Led_Transformation.md,ITD
16,2,AWKS,"Adventure Works Analytics Holdings","Persistent Profitability Bet",data/news_articles/AWKS/Adventure_Works_Bets_on_Persistent_Profitability_Amid_AI_Powered_Surge.pdf,data/news_articles/AWKS/Adventure_Works_Bets_on_Persistent_Profitability_Amid_AI_Powered_Surge.md,GWN
17,2,AWKS,"Adventure Works Analytics Holdings","Bold Profit Forecast",data/news_articles/AWKS/Adventure_Works_Doubles_Down_on_AI_with_Bold_Profit_Forecast.pdf,data/news_articles/AWKS/Adventure_Works_Doubles_Down_on_AI_with_Bold_Profit_Forecast.md,FTI
18,2,AWKS,"Adventure Works Analytics Holdings","AI Demand Profits",data/news_articles/AWKS/Adventure_Works_jumps_on_forecast_for_profit_every_quarter_in_2023_AI_demand.pdf,data/news_articles/AWKS/Adventure_Works_jumps_on_forecast_for_profit_every_quarter_in_2023_AI_demand.md,FBA
19,2,AWKS,"Adventure Works Analytics Holdings","AI Transformation Ahead",data/news_articles/AWKS/Adventure_Works_Posts_Profit_Signals_AI_Transformation_Ahead.pdf,data/news_articles/AWKS/Adventure_Works_Posts_Profit_Signals_AI_Transformation_Ahead.md,CDG
20,2,AWKS,"Adventure Works Analytics Holdings","Second Consecutive Profit",data/news_articles/AWKS/Adventure_Works_Reports_Its_Second_Consecutive_Quarter_of_Positive_Net_Income.pdf,data/news_articles/AWKS/Adventure_Works_Reports_Its_Second_Consecutive_Quarter_of_Positive_Net_Income.md,ITD
21,2,AWKS,"Adventure Works Analytics Holdings","AI Wave Profits",data/news_articles/AWKS/Adventure_Works_Rides_AI_Wave_Projects_Quarterly_Profits_Through_Year_End.pdf,data/news_articles/AWKS/Adventure_Works_Rides_AI_Wave_Projects_Quarterly_Profits_Through_Year_End.md,GWN
22,5,NWND,"Northwind","Q4 Loss Narrows",data/news_articles/NWND/Northwind_Q4_Loss_Narrower_Than_Estimates_Revenues_Beat.pdf,data/news_articles/NWND/Northwind_Q4_Loss_Narrower_Than_Estimates_Revenues_Beat.md,GWN
23,5,NWND,"Northwind","Full Year Results",data/news_articles/NWND/Northwind_Reports_Results_for_the_Fourth_Quarter_and_Full_Year.pdf,data/news_articles/NWND/Northwind_Reports_Results_for_the_Fourth_Quarter_and_Full_Year.md,FTI
24,5,NWND,"Northwind","Revenue Halved FY23",data/news_articles/NWND/Northwind_revenue_halved_in_FY23_as_The_Primary_Eastern_Market_ban_bites.pdf,data/news_articles/NWND/Northwind_revenue_halved_in_FY23_as_The_Primary_Eastern_Market_ban_bites.md,FBA
25,5,NWND,"Northwind","Weathering Revenue Storm",data/news_articles/NWND/Can_Northwind_Weather_the_Storm_of_Tumbling_Revenues.pdf,data/news_articles/NWND/Can_Northwind_Weather_the_Storm_of_Tumbling_Revenues.md,CDG
26,5,NWND,"Northwind","Global Challenges Shift",data/news_articles/NWND/How_Northwind_Fortunes_Shifted_Amid_Global_Challenges.pdf,data/news_articles/NWND/How_Northwind_Fortunes_Shifted_Amid_Global_Challenges.md,ITD
27,5,NWND,"Northwind","AI Recovery Looms",data/news_articles/NWND/Northwind_Battles_Challenging_Chip_Market_as_Losses_Narrow_and_AI_Driven_Recovery_Looms.pdf,data/news_articles/NWND/Northwind_Battles_Challenging_Chip_Market_as_Losses_Narrow_and_AI_Driven_Recovery_Looms.md,GWN
28,5,NWND,"Northwind","Quarterly Loss Persists",data/news_articles/NWND/Northwind_Faces_Industry_Blues_as_Quarterly_Loss_Narrows_Revenue_Declines_Persist.pdf,data/news_articles/NWND/Northwind_Faces_Industry_Blues_as_Quarterly_Loss_Narrows_Revenue_Declines_Persist.md,FTI
29,5,NWND,"Northwind","Tough Year Ahead",data/news_articles/NWND/Northwind_Faces_the_Heat_A_Tough_Year_Ahead.pdf,data/news_articles/NWND/Northwind_Faces_the_Heat_A_Tough_Year_Ahead.md,FBA
30,5,NWND,"Northwind","Industry Loss Narrows",data/news_articles/NWND/Northwind_Quarterly_Loss_Narrows_Amid_The_Industry_Challenges.pdf,data/news_articles/NWND/Northwind_Quarterly_Loss_Narrows_Amid_The_Industry_Challenges.md,CDG
31,5,NWND,"Northwind","Eastern Market Ban",data/news_articles/NWND/Northwind_Revenue_Plummets_Amid_The_Primary_Eastern_Market_Ban_and_Industry_Turmoil.pdf,data/news_articles/NWND/Northwind_Revenue_Plummets_Amid_The_Primary_Eastern_Market_Ban_and_Industry_Turmoil.md,ITD
32,3,ZVTC,"Zava Technologies","Semiconductor Sector Struggles",data/news_articles/ZVTC/A_Slide_in_Zava_Technologies_Shares_Highlights_Semiconductor_Sector_Struggles.pdf,data/news_articles/ZVTC/A_Slide_in_Zava_Technologies_Shares_Highlights_Semiconductor_Sector_Struggles.md,GWN
33,3,ZVTC,"Zava Technologies","Chip Sector Blues",data/news_articles/ZVTC/Chip_Sector_Blues_Strain_Semiconductor_Suppliers_Knock_Zava_Technologies_Shares.pdf,data/news_articles/ZVTC/Chip_Sector_Blues_Strain_Semiconductor_Suppliers_Knock_Zava_Technologies_Shares.md,FTI
34,3,ZVTC,"Zava Technologies","Shares Drop on Weak Usage",data/news_articles/ZVTC/Zava_Technologies_Shares_Drop_as_Semiconductor_Materials_Usage_Weakens.pdf,data/news_articles/ZVTC/Zava_Technologies_Shares_Drop_as_Semiconductor_Materials_Usage_Weakens.md,FBA
35,3,ZVTC,"Zava Technologies","Stock Falls on Declining Consumption",data/news_articles/ZVTC/Zava_Technologies_Stock_Falls_as_Materials_Consumption_Declines.pdf,data/news_articles/ZVTC/Zava_Technologies_Stock_Falls_as_Materials_Consumption_Declines.md,CDG
36,3,ZVTC,"Zava Technologies","Slowing Demand Pressures Suppliers",data/news_articles/ZVTC/Semiconductor_Manufacturers_Face_Slowing_Demand_Pressuring_Suppliers.pdf,data/news_articles/ZVTC/Semiconductor_Manufacturers_Face_Slowing_Demand_Pressuring_Suppliers.md,ITD
37,3,ZVTC,"Zava Technologies","Supplier Shares Slide",data/news_articles/ZVTC/Semiconductor_Materials_Supplier_Zava_Technologies_Shares_Slide.pdf,data/news_articles/ZVTC/Semiconductor_Materials_Supplier_Zava_Technologies_Shares_Slide.md,GWN
38,3,ZVTC,"Zava Technologies","Sector Slowdown Hits Shares",data/news_articles/ZVTC/Semiconductor_Sector_Slowdown_Sends_Zava_Technologies_Shares_Lower.pdf,data/news_articles/ZVTC/Semiconductor_Sector_Slowdown_Sends_Zava_Technologies_Shares_Lower.md,FTI
39,3,ZVTC,"Zava Technologies","Semiconductor Weakness Weighs",data/news_articles/ZVTC/Semiconductor_Weakness_Weighs_on_Zava_Technologies_Stock.pdf,data/news_articles/ZVTC/Semiconductor_Weakness_Weighs_on_Zava_Technologies_Stock.md,FBA
40,3,ZVTC,"Zava Technologies","Materials Usage Decline Impact",data/news_articles/ZVTC/What_the_Decline_in_Materials_Usage_Means_for_the_Sector.pdf,data/news_articles/ZVTC/What_the_Decline_in_Materials_Usage_Means_for_the_Sector.md,CDG
41,3,ZVTC,"Zava Technologies","Stock Takes a Hit",data/news_articles/ZVTC/Why_Zava_Technologies_Stock_Just_Took_a_Hit.pdf,data/news_articles/ZVTC/Why_Zava_Technologies_Stock_Just_Took_a_Hit.md,ITD
42,4,NFEQ,"NanoFab Equipment","Choppy Waters Amid Chip Weakness",data/news_articles/NFEQ/NanoFab_Equipment_Faces_Choppy_Waters_Amid_Memory_Chip_Weakness.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Faces_Choppy_Waters_Amid_Memory_Chip_Weakness.md,GWN
43,4,NFEQ,"NanoFab Equipment","Shares Decline as Market Cools",data/news_articles/NFEQ/NanoFab_Equipment_Shares_Decline_as_Memory_Chip_Market_Shows_Signs_of_Cooling.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Shares_Decline_as_Memory_Chip_Market_Shows_Signs_of_Cooling.md,FTI
44,4,NFEQ,"NanoFab Equipment","Shares Slide on Chip Demand Pressure",data/news_articles/NFEQ/NanoFab_Equipment_Shares_Slide_as_Memory_Chip_Demand_Pressures_Semiconductor_Sector.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Shares_Slide_as_Memory_Chip_Demand_Pressures_Semiconductor_Sector.md,FBA
45,4,NFEQ,"NanoFab Equipment","Stock Drop Highlights Volatile Market",data/news_articles/NFEQ/NanoFab_Equipment_Stock_Drop_Highlights_Volatile_Memory_Chip_Market.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Stock_Drop_Highlights_Volatile_Memory_Chip_Market.md,CDG
46,4,NFEQ,"NanoFab Equipment","Stock Drop Signals Wider Worries",data/news_articles/NFEQ/NanoFab_Equipment_Stock_Drop_Signals_Wider_Semiconductor_Worries.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Stock_Drop_Signals_Wider_Semiconductor_Worries.md,ITD
47,4,NFEQ,"NanoFab Equipment","Stock Falls on Weak Demand",data/news_articles/NFEQ/NanoFab_Equipment_Stock_Falls_Amid_Weakening_Demand_for_Memory_Chips.pdf,data/news_articles/NFEQ/NanoFab_Equipment_Stock_Falls_Amid_Weakening_Demand_for_Memory_Chips.md,GWN
48,4,NFEQ,"NanoFab Equipment","Why Stock Dropped Last Month",data/news_articles/NFEQ/Heres_Why_NanoFab_Equipment_Stock_Dropped_Last_Month.pdf,data/news_articles/NFEQ/Heres_Why_NanoFab_Equipment_Stock_Dropped_Last_Month.md,FTI
49,4,NFEQ,"NanoFab Equipment","Passing Chill or Deeper Freeze",data/news_articles/NFEQ/Is_the_Semiconductor_Slowdown_a_Passing_Chill_or_a_Deeper_Freeze_for_NanoFab_Equipment.pdf,data/news_articles/NFEQ/Is_the_Semiconductor_Slowdown_a_Passing_Chill_or_a_Deeper_Freeze_for_NanoFab_Equipment.md,FBA
50,4,NFEQ,"NanoFab Equipment","Equipment Maker Drops on Cooling Market",data/news_articles/NFEQ/Semiconductor_Equipment_Maker_NanoFab_Equipment_Drops_on_Cooling_Memory_Market.pdf,data/news_articles/NFEQ/Semiconductor_Equipment_Maker_NanoFab_Equipment_Drops_on_Cooling_Memory_Market.md,CDG
51,4,NFEQ,"NanoFab Equipment","Weak Demand Sends Stock Lower",data/news_articles/NFEQ/Weak_Memory_Chip_Demand_Sends_NanoFab_Equipment_Stock_Lower.pdf,data/news_articles/NFEQ/Weak_Memory_Chip_Demand_Sends_NanoFab_Equipment_Stock_Lower.md,ITD
52,6,CCMP,"Contose Compute","Chip Demand Fuels Meteoric Rise",data/news_articles/CCMP/Chip_Demand_Fuels_Contoso_Compute_Meteoric_Rise_Amid_AI_Transition.pdf,data/news_articles/CCMP/Chip_Demand_Fuels_Contoso_Compute_Meteoric_Rise_Amid_AI_Transition.md,GWN
53,6,CCMP,"Contose Compute","AI Surge Redefines Tech Landscape",data/news_articles/CCMP/Contoso_Compute_AI_Surge_How_the_Technology_Solutions_Firm_is_Redefining_the_Tech_Landscape.pdf,data/news_articles/CCMP/Contoso_Compute_AI_Surge_How_the_Technology_Solutions_Firm_is_Redefining_the_Tech_Landscape.md,FTI
54,6,CCMP,"Contose Compute","Record Revenue Q3 Fiscal",data/news_articles/CCMP/Contoso_Compute_Corp_Reports_Record_Revenue_and_Earnings_in_Q3_Fiscal.pdf,data/news_articles/CCMP/Contoso_Compute_Corp_Reports_Record_Revenue_and_Earnings_in_Q3_Fiscal.md,FBA
55,6,CCMP,"Contose Compute","Data Center Powers AI Growth",data/news_articles/CCMP/Contoso_Compute_Data_Center_Revenue_Powers_Unprecedented_Growth_in_Generative_AI_Surge.pdf,data/news_articles/CCMP/Contoso_Compute_Data_Center_Revenue_Powers_Unprecedented_Growth_in_Generative_AI_Surge.md,CDG
56,6,CCMP,"Contose Compute","Earnings Highlight AI Momentum",data/news_articles/CCMP/Contoso_Compute_Earnings_Highlight_AIs_Explosive_Growth_But_Can_the_Momentum_Hold.pdf,data/news_articles/CCMP/Contoso_Compute_Earnings_Highlight_AIs_Explosive_Growth_But_Can_the_Momentum_Hold.md,ITD
57,6,CCMP,"Contose Compute","Era of AI Chips and Demand",data/news_articles/CCMP/Contoso_Compute_Earnings_The_Era_of_AI_Chips_And_Generative_AI_Demand.pdf,data/news_articles/CCMP/Contoso_Compute_Earnings_The_Era_of_AI_Chips_And_Generative_AI_Demand.md,GWN
58,6,CCMP,"Contose Compute","Generative AI Era Record Growth",data/news_articles/CCMP/Contoso_Compute_Proclaims_Generative_AI_Era_with_Record_Growth.pdf,data/news_articles/CCMP/Contoso_Compute_Proclaims_Generative_AI_Era_with_Record_Growth.md,FTI
59,6,CCMP,"Contose Compute","Revenues Soar Hyperscaler AI Rush",data/news_articles/CCMP/Contoso_Compute_revenues_soar_amid_hyperscaler_AI_rush.pdf,data/news_articles/CCMP/Contoso_Compute_revenues_soar_amid_hyperscaler_AI_rush.md,FBA
60,6,CCMP,"Contose Compute","Revenues Up Generative AI Boom",data/news_articles/CCMP/Contoso_Compute_revenues_up_from_last_year_on_generative_AI_boom.pdf,data/news_articles/CCMP/Contoso_Compute_revenues_up_from_last_year_on_generative_AI_boom.md,CDG
61,6,CCMP,"Contose Compute","Smashes Records",data/news_articles/CCMP/Contoso_Compute_Smashes_Records.pdf,data/news_articles/CCMP/Contoso_Compute_Smashes_Records.md,ITD
